a_Knight_Acc_Pauldron_Round_2	Highland Watch Pauldrons
m_bar_2	Black Iron Bar
m_bar_3	Bog Iron Bar
m_bar_4	Ashsteel Bar
m_bar_5	Highland Steel Bar
m_bar_6	Starmetal Bar
m_bar_7	Brinesteel Bar
m_bar_8	Voidsteel Bar
m_cloth_1	Bolt of Linen
m_cloth_2	Bolt of Wool
m_cloth_3	Bolt of Reedweave
m_cloth_4	Bolt of Ashsilk
m_cloth_5	Bolt of Frostweave
m_cloth_6	Bolt of Runecloth
m_cloth_7	Bolt of Emberweave
m_cloth_8	Bolt of Voidweave
m_herb_1	Hearthleaf
m_herb_2	Cliffmoss
m_herb_3	Bogbell
m_herb_4	Emberroot
m_herb_5	Frostthistle
m_herb_6	Starbloom
m_herb_7	Firebloom
m_herb_8	Voidlotus
m_hide_1	Rough Hide
m_hide_2	Rugged Hide
m_hide_3	Mire Hide
m_hide_4	Cinder Hide
m_hide_5	Highland Hide
m_hide_6	Wyrm Hide
m_hide_7	Drakehide Hide
m_hide_8	Rimehide Hide
m_leather_1	Rough Leather
m_leather_2	Rugged Leather
m_leather_3	Mire Leather
m_leather_4	Cinder Leather
m_leather_5	Highland Leather
m_leather_6	Wyrm Leather
m_leather_7	Drakehide Leather
m_leather_8	Rimehide Leather
m_linen_1	Linen Scraps
m_linen_2	Wool Scraps
m_linen_3	Reedweave Scraps
m_linen_4	Ashsilk Scraps
m_linen_5	Frostweave Scraps
m_linen_6	Runecloth Scraps
m_linen_7	Emberweave Scraps
m_linen_8	Voidweave Scraps
m_ore_1	Copper Ore
m_ore_2	Black Iron Ore
m_ore_3	Bog Iron Ore
m_ore_4	Ashsteel Ore
m_ore_5	Highland Steel Ore
m_ore_6	Starmetal Ore
m_ore_7	Brinesteel Ore
m_ore_8	Voidsteel Ore
map	The Shaman's Map
meat	Maggot Meat
moth_wing	Dusty Moth Wing
notes	Old Ned's Notes
oats	Highland Oats
obsidian	Obsidian Chip
pelt_white	Thick White Pelt
potion_l	Major Healing Potion
potion_m	Healing Potion
potion_s	Minor Healing Potion
purse	Miner's Wage Purse
ram_horn	Ram's Horn
rime_crystal	Rime Crystal
robe_scrap	Scorched Robe Scrap
rune_shard	Rune Shard
scale_fire	Scorched Drake Scale
scale_sea	Serpent Scale
sea_glass	Sea Glass
seal	Mora's Seal
silk	Coarse Spider Silk
slag	Lump of Slag
soul_shard	Soul Shard
stew	Warm Meal
stew_hearty	Hearty Stew
stone	Rough Stone
straw	Bundle of Straw
t_bowstring	Ketch's Bowstring
t_charm	Marsh-Witch's Charm
t_ember_heart	Cooling Ember of Azhul
t_eye	Eye of Vaal
t_frost_shard	Shard of Eternal Winter
t_golem	Golemheart
t_lantern	Catacomb Lantern
t_obsidian	Obsidian Focus
t_tome	Last Page of the Archive
t_voidglass	Seer's Voidglass
t_whistle	Bosun's Whistle
tail	Rat Tail
tok_chest	Breastplate of the Unbroken Oath
tok_hands	Gauntlets of the Unbroken Oath
tok_head	Helm of the Unbroken Oath
tok_legs	Legguards of the Unbroken Oath
tok_shoulders	Mantle of the Unbroken Oath
token_grave	Grave Token
totem	Totems Smashed
trinket_shiny	Shiny Puglin Trinket
tusk	Boar King's Tusk
vial_void	Vial of Void Ichor
voidstone	Voidstone Fragment
w_abyssblade	Drowned King's Blade
w_abyssfang	Soulreaver
w_abyssstaff	Seth's Gaze
w_axe	Digger's Pick
w_bough	Heartwood of Rootmaw
w_club	Acolyte's Mace
w_crystalstaff	Staff of the Sunken
w_curved	Tidebreaker Cutlass
w_dagger	Dirk
w_dragonblade	Ashur's Edge
w_emberstaff	Old Tusk's Grudge
w_eternity	Eternity, Staff of Hours
w_fang	Venomfang Dirk
w_greataxe	Brandmaster's Axe
w_hook	Warden's Hookblade
w_long	Sharpened Sword
w_moon	Dawnbringer
w_serrated	Glassedge Blade
w_skullstaff	Lichbone Staff
w_staff	Apprentice's Staff
w_sword	Recruit's Sword
w_wand	Ashwood Wand
w_wood	Walking Staff
w_worldbreaker	Maul of the Colossus
war_horn	The Warlord's Horn
water	Spring Water
wool	Tuft of Ram's Wool
